Problem, ct, LB, Number of stations, CPU time, 
MERTENS.txt,8,4,5,0.010981321,
MERTENS.txt,10,3,3,0.005997181,
MERTENS.txt,15,2,2,0.005996943,
MERTENS.txt,18,2,2,0.005998135,
BOWMAN8.txt,20,4,5,0.006997585,
JAESCHKE.txt,6,7,8,0.010000706,
JAESCHKE.txt,7,6,7,0.008990288,
JAESCHKE.txt,8,5,6,0.008996725,
JAESCHKE.txt,10,4,4,0.008013248,
JAESCHKE.txt,18,3,3,0.007995367,
JACKSON.txt,9,6,6,0.027002811,
JACKSON.txt,10,5,5,0.013007164,
JACKSON.txt,13,4,4,0.010980606,
JACKSON.txt,14,4,4,0.011007309,
JACKSON.txt,21,3,3,0.010007143,
MITCHELL.txt,15,7,8,0.026998043,
MITCHELL.txt,21,5,6,0.024997234,
MITCHELL.txt,26,5,5,0.023985863,
MITCHELL.txt,35,3,3,0.246858835,
MITCHELL.txt,39,3,3,0.02298665,
HESKIA.txt,205,5,6,0.056972027,
HESKIA.txt,216,5,5,0.109931946,
HESKIA.txt,256,4,5,0.055968046,
HESKIA.txt,324,4,4,0.051972628,
HESKIA.txt,342,3,4,0.054980993,
SAWYER30.txt,33,10,11,0.113921404,
SAWYER30.txt,41,8,9,0.051986933,
SAWYER30.txt,47,7,8,0.049984455,
KILBRID.txt,79,7,8,0.110930681,
KILBRID.txt,92,6,7,0.104957819,
KILBRID.txt,110,6,6,0.115943432,
KILBRID.txt,138,4,4,0.82950592,
KILBRID.txt,184,3,3,0.523685932,
TONGE70.txt,207,17,19,0.607650757,
TONGE70.txt,234,15,17,0.293817759,
TONGE70.txt,320,11,12,0.269858122,
LUTZ2.txt,18,27,31,0.488720417,
LUTZ2.txt,21,24,26,0.45174098,
LUTZ2.txt,32,16,16,3.589944601,
MUKHERJE.txt,351,12,13,0.597655773,
MUKHERJE.txt,471,9,10,0.578656912,
MUKHERJE.txt,704,6,7,0.567686796,
ARC111.txt,9554,16,17,0.816542387,
ARC111.txt,11570,13,14,0.872517586,
ARC111.txt,15040,10,11,0.779565573,
BARTHOLD.txt,470,12,13,1.650052071,
BARTHOLD.txt,795,8,8,1.633080006,
BARTHOLD.txt,1127,5,6,1.711030722,
